,Score,Summary,Text
0,1,Worst Coffee tasted,I should've listened to the reviews. This coffee is terrible. I am not sure why Amazon still has this producat available. I ordered 4 boxes and cannot even give those away as people in the office also say it's terrible.
1,1,low carb pan cake mix,would not buy again.  The product did not cook all the way.  I tred it cookig with a high heat and a low heat.  The only way I was able to have it done in the center was to make crepes.
2,1,BLECH! BEWARE - the 5 star reviews must be bogus!,"My family is organic and gluten free and we have found genuinely tasty snacks, but this isn't one.  The taste is not ANYWHERE remotely close to real Cheetos. They actually tasted like they'd turned. They don't even look like the picture on the outside. I can't even imagine how someone else WOULD like them so I'm really thinking the rave reviews are fake. Or written by someone who's never had a real Cheeto.  ugh. I may give them to the squirrels out back but I might get charged with cruelty to animals. YES, THEY ARE THAT BAD."
3,1,overpowering lemon grass,"This tea sounded great. I lived in the middle east and love the real moroccan mint tea. The real tea includes spearmint and green tea only. Honey is typically added. In this case all you can taste is lemon grass and the only hint of mint is peppermint, not spearmint. I really regret buying a whole case of this stuff. I would highly recommend buying Twinnings green tea with mint. It doesn't have ""Moroccan mint"" as a title, but it is a lot closer to the original namesake. Stash has a little bit of false advertising going on here. It should really be called lemon grass green tea with a picture of lemon grass on the box. It is anything but Moroccan."
4,1,Made me SICK,I thought this would be awesome.... product didn't taste bad initially.... but cleaned me out.... and NOT in a good way... went to throw out the rest... and it defrosted but didn't lose it's shape in the sink!  That made me even more sick!  What in the world was in that product?
5,1,Cheesy Reissue,"My one-star refers to this so-called ""20th Anniversary Deluxe Edition"" of this hilarious and eye-popping delight from director Tim Burton.<br /><br />Since the inception of the DVD format, I have been waiting for a proper DVD of Beetlejuice with commentary and special features.<br /><br />I am sorry to say that this pathetic disc is NOT what I have been waiting for.<br /><br />Though they supposedly have spruced up the picture, the ONLY special features are three Beetlejuice cartoons and I think some music track or something.<br /><br />NO commentary, NO behind-the-scenes, NO nothing.<br /><br />So -- NO sale.<br /><br />I'm still waiting..."
6,1,Sudo-bark,My word these are terrible.  Do people really eat these?  Each crunchy bite is a sudden new burst of bland and disgusting.  I think the only reason these things don't go bad is because even bacteria find them unpalatable.
7,1,Beware these nuts! Bitter Taste Lasts For Days!,"I thought this sounded like a great deal - I love pine nuts and the price was right.  Unfortunately, these pine nuts are imported from China and have caused me to have a lasting bitter taste in my mouth.  Others have reported a similar issue:<br />[...]. Save yourself some agony and buy the slightly more expensive pine nuts from the US or Italy."
8,1,Horrible,"This tea is horrible. The product has a dirty laundry smell and does not taste much better. I expected better from something so expensive. It is simply not worth it. Cheaper white teas from other brands are much better. Rishi, H&S, and numerous other tea companies have better white tea. In all honesty, this tastes worse than bagged tea. Teavana has some good products, but they are just too overpriced.<br /><br />Did I mention how horrible Teavana's customer service is? They don't respond to emails,etc. You have to wait on the phone for hours. Simply unacceptable. Feel free to check their facebook wall to see customers voicing the same concern."
9,1,Don't buy this coconut milk!,"I have purchased other coconut milks (Natural Value Organic Coconut Milk, 14 Ounce Cans (Pack of 12) from Amazon with good results, but that product is no longer available. So I bought this coconut milk hoping the other reviews were wrong. This coconut milk is terrible! Even after 24 hours in the refrigerator there was no separation in the can, and thus no coconut cream to be whipped and the coconut milk is very watery.  If you just want to throw this into the blender for shakes then it should be O.K., but if you are wanting creamy coconut milk, look elsewhere."
